Area,Price,Avg ratings
Himayatnagar,319.44444444444446,3.97962962962963
Hindustan Park,500.0,2.9
Hirabaugh,100.0,4.0
Honey Park,300.0,2.9
Huda Colony,200.0,3.7
Huda Complex,380.0,3.28
Humayun Nagar,162.25,3.8249999999999997
Hyderabad,237.5,3.6999999999999997
Hyderguda Old Mla Home,250.0,2.9
Indiranagar,415.5923076923077,3.7753846153846156
Isanpur,188.63636363636363,3.3272727272727276
J.C.Nagar,150.0,4.3
Jadavpur,304.83870967741933,3.235483870967742
Jam Bagh,150.0,4.18
Jamalia,250.0,3.8666666666666667
Janakpuri,225.0,2.9
Jashoda Nagar,266.6666666666667,3.733333333333333
Jayamahal,300.0,4.3
Jayanagar,426.83673469387753,3.806122448979592
Jayanagar - 3Rd Block,199.0,4.3
Jillelaguda,110.0,2.9
Jivraj Park,205.0,3.5999999999999996
Jm Road,200.0,3.7
Jodhpur,200.0,4.6
Jodhpur Cross Road,200.0,2.9
Jodhpur Park,356.25,3.81875
Jodhpur Tekra,250.0,4.3
Jodhpur Village,268.75,3.9125
Jogeshwari East,250.0,4.0
Jogupalya,342.5,3.975
Jorabagan,200.0,3.9
Jorasanko,233.33333333333334,3.6
Jubilee Hills,366.6666666666667,4.166666666666667
Juhapura,366.6666666666667,4.033333333333333
Juhu,333.3333333333333,2.9
Jyothi Nagar,300.0,3.7
Kachiguda,281.57894736842104,3.9105263157894736
Kadugondanahalli,100.0,4.3
Kailash Plaza,300.0,2.9
Kakurgachi,225.0,2.9
Kalas,425.0,3.55
Kalasiguda,450.0,4.2
Kalighat,408.93617021276594,4.048936170212766
Kalina,316.6666666666667,3.8777777777777778
Kalina Ck,500.0,4.5
Kalupur,250.0,4.3
Kalyan Nagar X Roads,200.0,4.5
Kalyani Nagar,492.6666666666667,3.44
Kankaria,466.6666666666667,3.8666666666666667
Kankurgachi,422.72727272727275,3.872727272727273
Kankurgachi Kolkata,400.0,2.9
Kapodra Patiya,120.0,4.1
Karam Pura,500.0,4.3
Karkhana,275.0,4.225
Karve Nagar,308.0,3.54
Karvenagar,300.0,2.9
Kasba,302.0833333333333,3.841666666666667
Kasba Peth,550.0,2.9
Katad Khana,200.0,3.8
Katargam,280.0,4.025
Katraj,350.0,3.45
Kausar Baugh Nibm Road,150.0,2.2
Kavadiguda,287.5,3.766666666666666
Keshav Puram,450.0,2.9
Kestopur,307.14285714285717,3.3214285714285716
Kestopur Rabindrapally,200.0,4.1
Kg-Iii,250.0,3.8
Khadia,233.33333333333334,3.5499999999999994
Khairtabad,277.27272727272725,3.8681818181818177
Khamasa,300.0,4.0
Khanpur,516.6666666666666,3.6999999999999997
Khar East,350.0,3.35
Khar West,445.45454545454544,3.813636363636364
Kharkhana & Trimulgherry,212.5,3.8499999999999996
